x_from=50000
x_to=50100
now is 2014-03-10.01:43:58
50010^52 + 491^55
50010^30 + 25553^84
50010^5 + 593^31
50010^5 + 751^78
50010^71 + 19561^82
50010^83 + 25853^70
50010^68 + 25909^25
50010^67 + 943^83
50010^97 + 20093^11
50010^75 + 13907^28
50010^69 + 13943^56
50010^5 + 20243^79
50010^45 + 14009^22
50010^57 + 26509^28
50010^4 + 20347^21
50010^9 + 14141^24
50010^14 + 26711^83
50010^46 + 1697^68
50010^25 + 14389^73
50010^78 + 14509^24
50010^54 + 20843^93
50010^7 + 14651^98
50010^25 + 2263^32
50010^45 + 2311^39
50010^98 + 27517^86
50010^74 + 2549^91
50010^53 + 15109^50
50010^44 + 2699^37
50010^33 + 28049^84
50010^8 + 15661^11
50010^72 + 28289^81
50010^75 + 3313^40
50010^63 + 15923^47
50010^98 + 22327^12
50010^84 + 22349^36
50010^48 + 28711^13
50010^79 + 16249^73
50010^81 + 22783^25
50010^17 + 22847^82
50010^59 + 16571^55
50010^79 + 23069^96
50010^34 + 23167^38
50010^91 + 23173^14
50010^47 + 4393^15
50010^95 + 17149^23
50010^65 + 17299^22
50010^24 + 23627^37
50010^29 + 29899^14
50010^60 + 23677^69
50010^68 + 17473^25
50010^29 + 23867^76
50010^79 + 23873^15
50010^91 + 30197^75
50010^51 + 30209^40
50010^13 + 30263^3
50010^15 + 5257^55
50010^52 + 30323^10
50010^26 + 5449^62
50010^51 + 24271^51
50010^70 + 18179^8
50010^98 + 24589^76
50010^78 + 18437^13
50010^20 + 24857^45
50010^80 + 24977^27
50010^48 + 31331^73
50010^26 + 37667^11
50010^45 + 37753^66
50010^39 + 44051^45
50010^12 + 37967^37
50010^22 + 6671^24
50010^69 + 44207^51
50010^91 + 38131^42
50010^64 + 6893^86
50010^45 + 6929^31
50010^42 + 32101^39
50010^34 + 7097^97
50010^19 + 44639^100
50010^74 + 32239^51
50010^87 + 32401^98
50010^40 + 7367^94
50010^18 + 32627^74
50010^100 + 45181^69
50010^4 + 45241^29
50010^47 + 32789^71
50010^63 + 39217^4
50010^18 + 7979^80
50010^76 + 8093^16
50010^12 + 39601^56
50010^76 + 33331^100
50010^34 + 45829^88
50010^17 + 8353^81
50010^51 + 33529^54
50010^83 + 39863^82
50010^21 + 33607^79
50010^19 + 33781^62
50010^70 + 34021^4
50010^5 + 34039^77
50010^15 + 40403^4
50010^70 + 34183^21
50010^14 + 9299^78
50010^84 + 46871^68
50010^42 + 34477^69
50010^87 + 9739^98
50010^84 + 34963^86
50010^12 + 47453^91
50010^49 + 10337^98
50010^25 + 47933^43
50010^40 + 47941^25
50010^92 + 35611^93
50010^73 + 48073^93
50010^72 + 35677^60
50010^7 + 10693^5
50010^57 + 35759^86
50010^11 + 35779^80
50010^29 + 48257^98
50010^46 + 48271^3
50010^56 + 35899^83
50010^97 + 48373^85
50010^46 + 48487^29
50010^88 + 11081^69
50010^31 + 11093^92
50010^34 + 11201^94
50010^94 + 48761^30
50010^14 + 48767^46
50010^14 + 36361^100
50010^34 + 11333^56
50010^73 + 48853^95
50010^73 + 36461^3
50010^41 + 48943^3
50010^70 + 42821^59
50010^7 + 42871^7
50010^83 + 36739^99
50010^88 + 43249^72
50010^78 + 49529^8
50010^59 + 37217^95
50010^20 + 43483^88
50010^4 + 43499^77
50010^77 + 49759^37
x=50010
Elapsed: 137.524 seconds
50011^75 + 6^58
50011^78 + 18^17
50011^75 + 36^29
50011^63 + 31339^16
50011^96 + 31442^28
50011^83 + 238^35
50011^72 + 25253^66
50011^77 + 266^84
50011^20 + 31539^45
50011^49 + 310^87
50011^47 + 31587^100
50011^57 + 383^22
50011^62 + 37928^20
50011^36 + 415^34
50011^80 + 31711^17
50011^31 + 31741^65
y=38000
50011^19 + 38037^72
50011^27 + 25539^74
50011^43 + 31805^14
50011^51 + 38105^35
50011^91 + 31934^14
50011^52 + 31966^88
50011^50 + 25739^20
50011^30 + 31990^22
50011^68 + 38252^59
50011^78 + 25751^100
y=32000
50011^86 + 38329^38
50011^17 + 32079^27
50011^93 + 25855^25
50011^55 + 38365^40
50011^41 + 32115^61
50011^91 + 25872^43
50011^87 + 32128^53
50011^8 + 964^45
50011^45 + 979^17
50011^36 + 32263^36
y=1000
50011^39 + 38533^53
50011^8 + 1021^6
50011^79 + 38563^61
50011^13 + 32320^69
50011^16 + 26083^74
50011^52 + 1100^14
50011^86 + 38645^98
50011^44 + 1152^35
50011^7 + 1214^71
50011^86 + 38733^6
50011^15 + 38747^9
50011^8 + 32473^52
50011^100 + 32502^98
50011^67 + 32528^59
50011^68 + 1319^38
50011^96 + 38879^53
50011^56 + 1360^62
50011^54 + 38900^3
50011^37 + 32637^51
50011^38 + 38928^46
50011^72 + 1412^26
50011^85 + 32663^100
50011^20 + 1458^54
50011^15 + 32762^51
50011^21 + 39097^13
50011^41 + 39131^60
50011^58 + 39151^45
50011^40 + 1626^91
50011^81 + 26628^79
50011^86 + 32920^71
50011^89 + 1708^67
50011^43 + 26725^52
50011^81 + 1730^33
50011^53 + 32990^12
y=33000
50011^38 + 1758^10
50011^63 + 33021^30
50011^19 + 26794^31
50011^57 + 39358^92
50011^33 + 26860^98
50011^36 + 1913^25
50011^6 + 26937^10
50011^48 + 33201^35
50011^27 + 1964^98
50011^3 + 26965^48
50011^30 + 39523^32
y=2000
y=27000
50011^44 + 27017^32
50011^6 + 39545^50
50011^84 + 33278^14
50011^36 + 2123^10
50011^88 + 27142^97
50011^5 + 33400^8
50011^46 + 27163^13
50011^28 + 2181^17
50011^3 + 33469^16
50011^49 + 27254^73
50011^55 + 39805^62
50011^72 + 27281^45
50011^46 + 27301^53
50011^18 + 27322^33
50011^84 + 39867^33
50011^76 + 39925^18
50011^36 + 27398^53
50011^72 + 33694^27
50011^81 + 2460^19
50011^87 + 33711^10
y=40000
50011^54 + 40011^44
50011^4 + 33727^28
50011^38 + 27506^82
50011^50 + 2513^99
50011^59 + 27517^56
50011^65 + 27531^94
50011^24 + 40089^76
50011^29 + 27565^48
50011^79 + 2584^86
50011^6 + 33836^39
50011^79 + 27668^55
50011^32 + 40203^93
50011^45 + 27691^34
50011^42 + 33960^61
50011^17 + 40255^7
50011^24 + 27728^53
50011^55 + 2749^91
50011^96 + 33992^16
y=34000
50011^84 + 34026^97
50011^35 + 27819^3
50011^9 + 34103^15
50011^78 + 2907^70
50011^82 + 27956^52
50011^7 + 40502^82
50011^100 + 40502^68
50011^72 + 27994^55
y=3000
y=28000
50011^35 + 28008^41
50011^77 + 3019^77
50011^96 + 28077^76
50011^26 + 34352^84
50011^9 + 28133^82
50011^24 + 3186^13
50011^24 + 40712^15
50011^91 + 40762^78
50011^10 + 28256^54
50011^61 + 34504^65
50011^5 + 34505^85
50011^99 + 34529^86
50011^54 + 3318^52
50011^63 + 3326^96
50011^69 + 28335^58
50011^25 + 28386^18
50011^39 + 3391^88
50011^20 + 40929^18
50011^18 + 34635^28
50011^86 + 3418^87
50011^49 + 28435^51
50011^26 + 40961^19
50011^45 + 40964^20
50011^97 + 28439^16
50011^98 + 28458^14
y=41000
50011^83 + 28516^75
50011^38 + 28520^98
50011^31 + 34745^84
50011^71 + 3529^48
50011^57 + 34758^46
50011^80 + 34767^30
50011^52 + 34793^58
50011^98 + 34813^55
50011^44 + 41146^44
50011^99 + 3622^14
50011^5 + 34874^21
50011^64 + 28668^3
50011^38 + 3675^32
50011^54 + 41205^84
50011^59 + 34911^75
50011^47 + 34914^35
50011^77 + 34939^43
50011^97 + 41266^60
50011^21 + 34958^91
50011^97 + 28757^47
50011^49 + 41289^23
50011^10 + 34984^57
50011^9 + 34997^65
y=35000
50011^18 + 3794^42
50011^87 + 41320^63
50011^48 + 3805^10
50011^62 + 28829^73
50011^89 + 28867^49
50011^13 + 3866^63
50011^45 + 41383^97
50011^64 + 41398^10
50011^83 + 28890^25
50011^25 + 35107^65
50011^70 + 28924^74
50011^31 + 41459^4
50011^95 + 35168^82
50011^76 + 41491^17
50011^46 + 3985^79
50011^14 + 3994^18
y=29000
y=4000
50011^19 + 29009^14
50011^26 + 4031^84
50011^70 + 4051^54
50011^12 + 29077^32
50011^53 + 35302^21
50011^31 + 35355^96
50011^11 + 29152^20
50011^56 + 41689^31
50011^35 + 35411^63
50011^54 + 41749^4
50011^26 + 29290^78
50011^17 + 29337^12
50011^53 + 41855^71
50011^66 + 41855^56
50011^5 + 4375^91
50011^13 + 29405^33
50011^43 + 29420^25
50011^86 + 41988^99
y=42000
50011^22 + 35723^42
50011^77 + 29521^87
50011^33 + 42041^59
50011^6 + 35757^70
50011^56 + 4549^69
50011^85 + 42084^100
50011^13 + 4593^65
50011^21 + 35805^32
50011^98 + 4601^88
50011^79 + 4617^20
50011^42 + 35842^98
50011^6 + 35881^52
50011^85 + 4657^5
50011^84 + 42182^18
50011^40 + 4673^68
50011^48 + 29736^34
50011^7 + 42247^21
50011^99 + 35974^99
y=36000
50011^70 + 36006^7
50011^28 + 42320^39
50011^3 + 36042^3
50011^8 + 29853^45
50011^15 + 29892^68
50011^34 + 42434^72
50011^63 + 36132^38
50011^94 + 42451^75
50011^15 + 36150^35
50011^55 + 42468^89
50011^62 + 4941^16
50011^17 + 42498^5
y=30000
50011^99 + 4999^96
y=5000
50011^30 + 5007^24
50011^73 + 5078^15
50011^24 + 42607^41
50011^48 + 36365^63
50011^49 + 42668^56
50011^67 + 5144^70
50011^25 + 36427^84
50011^86 + 42732^57
50011^68 + 5232^37
50011^79 + 30274^75
50011^31 + 30275^37
50011^81 + 42790^46
50011^91 + 5308^17
50011^6 + 5316^48
50011^24 + 30387^35
50011^79 + 30408^95
50011^54 + 42907^75
50011^39 + 5396^74
50011^58 + 30418^42
50011^70 + 42981^62
y=43000
50011^7 + 43011^99
50011^88 + 36760^40
50011^60 + 36791^87
50011^32 + 43109^59
50011^54 + 43124^28
50011^80 + 5628^60
50011^83 + 36891^73
50011^35 + 30729^94
50011^93 + 43233^27
50011^28 + 43244^48
50011^59 + 5741^93
y=37000
50011^92 + 37033^11
50011^28 + 30859^49
50011^20 + 43380^48
50011^28 + 37132^36
50011^35 + 30962^99
50011^73 + 37142^66
y=31000
y=6000
50011^20 + 6002^6
50011^66 + 37248^36
50011^73 + 31090^7
50011^7 + 43660^4
50011^18 + 6217^41
50011^88 + 43735^67
50011^32 + 43741^61
50011^16 + 43746^71
50011^4 + 43752^50
50011^87 + 43781^10
50011^80 + 37464^6
50011^45 + 6276^21
50011^8 + 18764^4
50011^82 + 6350^88
50011^99 + 43903^88
50011^89 + 6384^91
50011^38 + 18853^51
50011^32 + 6425^79
50011^64 + 12696^78
y=44000
50011^88 + 44008^67
y=19000
50011^50 + 6577^20
50011^54 + 12837^51
50011^19 + 6589^14
50011^73 + 44116^75
50011^18 + 6596^22
50011^69 + 19035^8
50011^55 + 12910^79
50011^36 + 19108^6
50011^87 + 6681^60
50011^96 + 6683^55
50011^35 + 44218^27
50011^74 + 6709^5
50011^79 + 12979^33
50011^85 + 19231^24
50011^20 + 13050^43
50011^47 + 19283^80
50011^63 + 13185^34
50011^23 + 44469^56
50011^54 + 44483^71
50011^50 + 44494^16
50011^64 + 6985^14
y=7000
50011^24 + 19445^87
50011^98 + 7045^89
50011^8 + 13320^7
50011^17 + 7089^85
50011^53 + 7101^47
50011^39 + 7104^30
50011^40 + 44628^16
50011^66 + 13371^57
50011^55 + 44633^23
50011^83 + 13385^41
50011^35 + 7144^68
50011^76 + 19589^31
50011^87 + 19615^11
50011^77 + 44708^91
50011^69 + 19625^26
50011^11 + 19646^63
50011^87 + 7226^63
50011^56 + 13497^58
50011^38 + 19673^43
50011^11 + 19676^66
50011^47 + 13530^23
50011^25 + 44801^29
50011^65 + 13542^53
50011^26 + 7329^35
50011^83 + 7381^75
50011^94 + 7395^68
50011^6 + 7401^89
50011^64 + 44911^65
50011^35 + 44938^77
50011^45 + 44942^13
50011^52 + 13707^62
50011^82 + 44963^43
50011^64 + 44970^21
50011^13 + 19893^34
y=45000
50011^43 + 7530^38
y=20000
50011^28 + 20016^76
50011^48 + 20071^7
50011^40 + 7676^60
y=14000
50011^27 + 45314^29
50011^67 + 20270^83
50011^14 + 7855^15
50011^74 + 14176^3
50011^80 + 45462^9
50011^94 + 20383^92
50011^96 + 20390^97
50011^58 + 20391^48
50011^32 + 14226^66
y=8000
50011^28 + 8004^59
50011^63 + 14259^93
50011^45 + 8022^99
50011^46 + 14276^40
50011^33 + 45556^19
50011^63 + 8041^93
50011^90 + 20502^14
50011^70 + 20525^8
50011^94 + 14383^93
50011^41 + 45678^9
50011^79 + 8161^51
50011^97 + 8180^55
50011^91 + 20619^83
50011^18 + 20621^25
50011^5 + 20624^20
50011^67 + 20695^15
50011^20 + 8286^64
50011^24 + 20750^21
50011^40 + 45848^76
50011^68 + 14618^15
50011^85 + 14621^16
50011^53 + 20820^97
50011^43 + 8397^67
50011^55 + 45948^17
50011^13 + 45967^16
50011^64 + 14712^39
50011^97 + 45983^77
y=46000
50011^28 + 14748^19
50011^45 + 14758^17
50011^78 + 20948^28
50011^17 + 46071^55
50011^82 + 20994^80
y=21000
50011^88 + 46115^31
50011^18 + 14903^90
50011^36 + 46198^11
50011^49 + 21137^30
50011^35 + 21168^66
y=15000
50011^70 + 21213^47
50011^56 + 15118^97
50011^58 + 8883^32
50011^12 + 46415^73
50011^66 + 15164^96
50011^95 + 15166^56
50011^50 + 15191^40
50011^98 + 8926^84
50011^39 + 8960^86
y=9000
50011^7 + 15283^52
50011^75 + 46585^98
50011^12 + 15319^30
50011^94 + 9068^84
50011^71 + 15350^84
50011^29 + 9131^5
50011^79 + 9151^81
50011^89 + 21603^10
50011^26 + 9182^38
50011^60 + 21640^24
50011^5 + 46785^28
50011^3 + 21687^8
50011^99 + 46806^9
50011^78 + 9297^42
50011^16 + 15593^27
50011^61 + 46875^52
50011^87 + 9340^99
50011^42 + 21800^57
50011^9 + 15658^43
50011^55 + 15679^53
50011^88 + 21869^43
50011^39 + 21873^80
50011^80 + 15703^8
50011^90 + 46983^64
y=47000
50011^96 + 21909^80
50011^11 + 21943^76
50011^60 + 47051^75
50011^49 + 47053^98
50011^81 + 15824^42
50011^24 + 9553^55
y=22000
50011^15 + 22003^4
50011^52 + 15891^65
50011^32 + 22064^51
50011^58 + 47195^77
50011^41 + 22093^58
50011^35 + 9662^38
50011^28 + 22107^44
50011^4 + 9704^30
50011^18 + 22164^9
y=16000
50011^43 + 9731^92
50011^24 + 47290^57
50011^17 + 22209^30
50011^64 + 22209^47
50011^3 + 47319^73
50011^98 + 22251^17
50011^44 + 47393^98
50011^23 + 22294^55
50011^44 + 22349^36
50011^89 + 47477^91
50011^54 + 16214^42
50011^3 + 16249^28
50011^51 + 22424^74
y=10000
50011^98 + 22492^26
50011^52 + 47622^15
50011^25 + 22517^7
50011^47 + 47626^89
50011^18 + 16360^71
50011^49 + 47648^9
50011^27 + 10146^4
50011^22 + 16427^43
50011^26 + 22601^50
50011^6 + 47727^13
50011^41 + 10186^37
50011^11 + 10190^16
50011^70 + 47761^7
50011^13 + 22668^43
50011^50 + 22682^6
50011^17 + 22701^95
50011^71 + 22705^95
50011^40 + 10286^41
50011^63 + 16568^7
50011^86 + 16623^4
50011^6 + 47904^76
50011^92 + 47930^84
50011^43 + 22832^27
y=48000
50011^58 + 22896^100
50011^64 + 48010^60
50011^99 + 16758^63
y=23000
50011^52 + 48121^14
50011^24 + 16892^51
50011^37 + 23077^93
50011^85 + 10654^23
50011^50 + 23130^30
50011^83 + 16963^50
50011^88 + 23132^8
50011^15 + 48241^82
50011^31 + 23155^39
y=17000
50011^44 + 48286^9
50011^30 + 48304^36
50011^72 + 48304^66
50011^35 + 10760^76
50011^89 + 48313^30
50011^24 + 23220^52
50011^52 + 10826^16
50011^57 + 17142^99
50011^13 + 17167^48
50011^36 + 10905^96
50011^17 + 48466^14
50011^13 + 17200^44
50011^44 + 17223^71
y=11000
50011^55 + 23433^56
50011^44 + 17357^84
50011^63 + 48755^7
50011^10 + 11214^34
50011^47 + 17533^59
50011^6 + 23689^27
50011^62 + 48812^58
50011^43 + 11288^37
50011^33 + 17570^95
50011^88 + 23735^19
50011^73 + 23804^15
50011^94 + 23814^5
50011^64 + 23823^91
50011^28 + 23825^70
50011^30 + 17689^97
50011^22 + 17702^94
50011^68 + 48969^50
50011^87 + 23863^88
50011^33 + 48993^13
y=49000
50011^34 + 11483^30
50011^12 + 17777^93
50011^24 + 11510^38
50011^81 + 23984^59
50011^58 + 17843^17
y=24000
50011^77 + 17861^58
50011^70 + 24020^28
50011^51 + 11601^11
50011^77 + 24029^18
50011^52 + 11631^56
50011^41 + 49165^57
50011^14 + 49177^83
50011^41 + 49178^13
50011^3 + 17934^63
50011^72 + 11682^30
50011^81 + 49249^78
50011^55 + 49256^86
y=18000
50011^8 + 49289^96
50011^74 + 18063^80
50011^5 + 49324^5
50011^14 + 49332^43
50011^31 + 18085^39
50011^66 + 24256^10
50011^94 + 18120^4
50011^21 + 24281^78
50011^36 + 18159^100
50011^63 + 11920^23
50011^22 + 24345^15
50011^46 + 18229^6
50011^58 + 18233^59
50011^26 + 49503^33
y=12000
50011^15 + 18256^51
50011^51 + 12036^33
50011^36 + 12093^76
50011^67 + 49638^22
50011^30 + 24600^71
50011^36 + 12199^18
50011^74 + 12208^81
50011^82 + 12245^8
50011^26 + 18505^48
50011^6 + 49796^44
50011^75 + 24685^45
50011^69 + 24699^16
50011^23 + 49859^86
50011^26 + 24816^8
50011^23 + 49930^72
50011^89 + 18671^29
50011^54 + 49943^74
50011^5 + 12423^80
50011^17 + 49966^48
y=50000
50011^11 + 24897^20
50011^71 + 24917^60
y=25000
50012^9 + 12565^39
50012^73 + 6323^62
50012^100 + 6345^77
50012^13 + 12893^25
50012^24 + 6671^8
50012^10 + 12947^72
50012^71 + 13065^94
50012^52 + 25619^38
50012^96 + 25623^44
50012^28 + 631^69
50012^83 + 13171^96
50012^28 + 13227^11
50012^23 + 25799^100
50012^46 + 13321^69
50012^5 + 877^38
50012^95 + 25895^79
50012^43 + 7151^94
50012^39 + 25941^76
50012^88 + 13485^45
50012^22 + 13521^72
50012^12 + 1031^92
50012^35 + 1093^81
50012^22 + 7343^81
50012^87 + 7389^13
50012^7 + 1291^67
50012^20 + 13831^86
50012^83 + 26535^8
50012^6 + 14077^56
50012^62 + 14097^14
50012^6 + 14123^88
50012^27 + 26731^37
50012^70 + 14231^94
50012^88 + 14265^30
50012^97 + 8039^64
50012^56 + 1879^35
50012^22 + 1889^43
50012^63 + 1923^62
50012^87 + 8239^61
50012^18 + 2007^58
50012^14 + 8265^19
50012^80 + 14557^54
50012^39 + 27117^9
50012^7 + 27175^40
50012^16 + 2231^40
50012^36 + 27323^83
50012^90 + 14827^72
50012^82 + 27347^31
50012^34 + 14849^14
50012^3 + 27379^16
50012^93 + 14985^71
50012^72 + 27561^28
50012^91 + 8841^81
50012^80 + 2655^49
50012^32 + 8927^76
50012^81 + 15181^35
50012^46 + 8955^59
50012^75 + 27705^24
50012^70 + 8981^54
50012^51 + 9041^44
50012^79 + 15295^99
50012^37 + 27819^38
50012^25 + 15419^36
50012^15 + 9187^7
50012^21 + 15473^91
50012^9 + 2965^80
50012^66 + 28007^21
50012^43 + 9289^7
50012^37 + 15583^45
50012^3 + 9377^88
50012^99 + 3191^60
50012^9 + 15839^55
50012^81 + 15859^91
50012^69 + 9611^88
50012^99 + 28401^85
50012^45 + 28409^91
50012^33 + 9661^32
50012^16 + 15937^72
50012^67 + 9745^3
50012^20 + 9775^46
50012^61 + 9797^53
50012^38 + 16131^76
50012^25 + 28665^90
50012^59 + 16235^48
50012^98 + 3771^21
50012^78 + 28767^57
50012^86 + 28845^91
50012^61 + 3895^72
50012^96 + 16429^60
50012^5 + 16503^23
50012^52 + 10255^85
50012^88 + 16519^57
50012^37 + 10323^41
50012^96 + 4145^67
50012^3 + 4325^55
50012^96 + 4343^64
50012^98 + 10593^78
50012^70 + 4407^56
50012^91 + 16925^87
50012^14 + 4419^58
50012^61 + 29435^87
50012^58 + 4435^32
50012^15 + 16969^71
50012^66 + 29531^24
50012^99 + 17107^32
50012^19 + 29613^20
50012^71 + 29621^24
50012^91 + 17187^22
50012^46 + 17283^99
50012^98 + 4791^73
50012^66 + 11117^15
50012^13 + 29881^33
50012^70 + 17435^74
50012^9 + 17459^62
50012^12 + 11277^11
50012^57 + 5029^49
50012^36 + 5105^44
50012^64 + 11381^3
50012^70 + 17673^73
50012^8 + 30265^90
50012^60 + 30291^43
50012^71 + 17827^59
50012^6 + 5325^59
50012^80 + 30379^80
50012^80 + 17881^22
50012^99 + 5395^51
50012^42 + 11737^65
50012^60 + 11809^64
50012^42 + 18133^45
50012^96 + 11889^30
50012^93 + 5645^47
50012^83 + 11913^94
50012^46 + 5685^46
50012^56 + 11993^69
50012^39 + 5901^43
50012^84 + 30967^95
50012^54 + 18471^41
50012^56 + 18497^56
50012^50 + 18547^67
50012^70 + 18565^17
50012^95 + 6121^8
50012^46 + 31163^67
50012^58 + 18773^90
50012^14 + 18871^43
50012^31 + 37645^21
50012^85 + 31469^37
50012^98 + 31517^25
50012^50 + 19021^36
50012^59 + 22131^37
50012^51 + 22275^51
50012^74 + 37979^52
50012^18 + 22477^13
50012^96 + 19487^68
50012^77 + 32059^74
50012^91 + 19649^75
50012^35 + 38405^24
50012^76 + 38433^46
50012^29 + 19731^67
50012^10 + 32239^49
50012^43 + 38485^16
50012^36 + 32345^72
50012^5 + 19927^59
50012^33 + 32469^61
50012^76 + 32495^70
50012^8 + 23159^57
50012^33 + 32593^48
50012^88 + 38837^91
50012^70 + 38841^15
50012^85 + 20155^13
50012^27 + 38879^25
50012^97 + 38893^56
50012^97 + 32673^21
50012^27 + 38905^85
50012^62 + 23403^8
50012^37 + 39029^36
50012^26 + 32837^50
50012^45 + 20413^17
50012^60 + 32905^18
50012^45 + 39213^93
50012^61 + 20509^84
50012^53 + 23609^71
50012^44 + 23737^23
50012^99 + 39369^74
50012^19 + 39471^34
50012^48 + 20747^29
50012^12 + 33247^9
50012^99 + 20779^67
50012^87 + 39511^73
50012^11 + 20837^51
50012^50 + 39589^69
50012^68 + 20965^7
50012^100 + 21079^9
50012^27 + 39817^98
50012^91 + 24409^99
50012^100 + 21343^46
50012^5 + 21377^58
50012^37 + 21451^87
50012^21 + 34001^97
50012^58 + 24633^42
50012^89 + 40359^89
50012^50 + 34165^12
50012^90 + 40475^92
50012^28 + 40481^10
50012^45 + 34227^29
50012^5 + 40527^46
50012^32 + 24915^30
50012^41 + 21841^67
50012^36 + 34421^16
50012^9 + 35967^16
50012^62 + 43795^11
50012^93 + 36011^37
50012^14 + 40705^57
50012^9 + 43871^52
50012^15 + 43871^78
50012^22 + 43917^76
50012^8 + 36123^61
50012^80 + 36133^60
50012^12 + 36147^90
50012^7 + 36207^85
50012^15 + 34709^46
50012^52 + 40981^39
50012^21 + 36343^33
50012^35 + 36429^19
50012^15 + 41127^47
50012^58 + 34973^52
50012^44 + 36503^14
50012^74 + 36515^70
50012^4 + 41207^4
50012^4 + 36597^21
50012^3 + 44415^61
50012^15 + 36753^58
50012^98 + 35259^23
50012^30 + 44623^50
50012^49 + 35323^81
50012^64 + 36883^89
50012^62 + 44693^24
50012^35 + 44695^14
50012^61 + 36937^44
50012^84 + 41653^20
50012^53 + 44857^96
50012^87 + 35527^99
50012^20 + 37127^45
50012^58 + 37185^65
50012^3 + 45027^44
50012^94 + 35697^9
50012^80 + 45117^25
50012^63 + 42045^90
50012^62 + 42277^52
50012^19 + 46971^62
50012^44 + 42341^72
50012^33 + 47173^59
50012^92 + 48711^10
50012^25 + 48713^93
50012^22 + 42517^46
50012^27 + 48791^93
50012^55 + 48811^70
50012^21 + 48847^40
50012^29 + 42649^4
50012^83 + 48867^18
50012^36 + 45793^37
50012^23 + 45795^98
50012^24 + 47365^43
50012^26 + 42693^14
50012^17 + 48931^91
50012^3 + 42763^80
50012^67 + 45907^86
50012^72 + 45943^45
50012^8 + 42867^22
50012^45 + 47555^14
50012^73 + 49147^100
50012^95 + 42923^7
50012^52 + 49237^93
50012^35 + 49253^47
50012^51 + 46177^79
50012^11 + 43079^66
50012^44 + 43081^34
50012^24 + 47779^21
50012^98 + 46231^35
50012^61 + 43111^45
50012^71 + 46305^73
50012^60 + 49449^25
50012^75 + 49479^85
50012^14 + 47957^17
50012^5 + 49525^50
50012^74 + 46519^59
50012^42 + 48085^16
50012^15 + 49659^37
50012^89 + 43467^7
50012^67 + 49735^100
50012^90 + 43513^53
50012^81 + 46699^67
50012^84 + 43631^90
50012^89 + 49887^42
50012^70 + 46785^95
50012^47 + 48351^29
50013^50 + 12629^87
50013^73 + 12701^55
50013^24 + 25240^53
50013^35 + 25253^20
y=19000
50013^66 + 268^86
50013^9 + 19039^83
50013^85 + 290^92
50013^26 + 12836^51
50013^72 + 25357^42
50013^42 + 12892^93
50013^35 + 19186^89
50013^39 + 448^10
50013^43 + 12944^12
y=13000
50013^39 + 13115^26
50013^83 + 13160^67
50013^30 + 13166^96
50013^72 + 13171^43
50013^93 + 25694^15
50013^62 + 757^55
50013^86 + 19501^76
50013^53 + 13259^45
50013^56 + 19514^57
50013^70 + 13288^61
50013^65 + 19549^24
50013^98 + 25820^6
50013^30 + 19649^50
50013^45 + 19657^56
50013^19 + 13441^7
50013^39 + 19702^49
50013^23 + 967^96
50013^72 + 19705^91
50013^67 + 19709^86
50013^51 + 25963^28
50013^8 + 25975^95
y=1000
y=26000
50013^99 + 1022^57
50013^78 + 26047^69
50013^58 + 13556^91
50013^49 + 19862^5
50013^35 + 19892^46
50013^54 + 1235^83
50013^12 + 19999^91
y=20000
50013^65 + 1328^49
50013^68 + 20095^72
50013^98 + 1370^48
50013^79 + 20155^33
50013^92 + 26452^78
50013^7 + 20212^3
y=14000
50013^49 + 1507^100
50013^29 + 14026^33
50013^38 + 14054^83
50013^29 + 26554^66
50013^88 + 20344^11
50013^85 + 1612^95
50013^83 + 20518^40
50013^28 + 14308^87
50013^29 + 26920^76
y=2000
50013^72 + 2056^42
50013^57 + 2075^8
50013^72 + 27067^33
50013^42 + 14590^13
50013^46 + 27077^83
50013^12 + 14624^98
50013^91 + 20852^53
50013^20 + 27109^85
50013^50 + 2168^25
50013^32 + 27226^93
50013^31 + 14852^47
50013^53 + 2353^22
50013^67 + 2414^61
50013^66 + 21188^33
50013^26 + 14972^79
50013^97 + 27538^96
50013^36 + 15059^89
50013^37 + 15109^50
50013^81 + 27626^35
50013^92 + 21382^68
50013^75 + 2684^41
50013^57 + 27679^71
50013^23 + 2701^87
50013^42 + 2762^72
50013^98 + 15274^44
50013^84 + 2830^96
50013^10 + 15338^44
50013^76 + 2843^83
50013^41 + 2848^93
50013^52 + 21602^52
50013^16 + 21608^75
50013^46 + 2890^85
50013^54 + 15388^96
